Mon Feb 15 14:01:17 2021 Epoch 1, lr: 0.0000300, train loss: 0.68531, val loss: 0.67355, acc: 0.00000, qwk: 0.00000
Mon Feb 15 14:01:38 2021 Epoch 1, lr: 0.0000300, train loss: 0.69483, val loss: 0.69004, acc: 0.00000, qwk: 0.27778
Mon Feb 15 14:02:10 2021 Epoch 1, lr: 0.0000300, train loss: 0.68207, val loss: 0.68330, acc: 0.00000, qwk: 0.00000
Mon Feb 15 14:02:31 2021 Epoch 1, lr: 0.0000300, train loss: 0.69344, val loss: 0.71838, acc: 0.00000, qwk: 0.16667
Mon Feb 15 14:02:51 2021 Epoch 1, lr: 0.0000300, train loss: 0.69216, val loss: 0.68487, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:02:56 2021 Epoch 2, lr: 0.0000300, train loss: 0.68826, val loss: 0.68131, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:01 2021 Epoch 3, lr: 0.0000300, train loss: 0.68139, val loss: 0.67491, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:07 2021 Epoch 4, lr: 0.0000300, train loss: 0.67913, val loss: 0.66699, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:12 2021 Epoch 5, lr: 0.0000300, train loss: 0.66534, val loss: 0.65847, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:16 2021 Epoch 6, lr: 0.0000300, train loss: 0.66896, val loss: 0.65280, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:22 2021 Epoch 7, lr: 0.0000300, train loss: 0.66023, val loss: 0.64836, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:27 2021 Epoch 8, lr: 0.0000300, train loss: 0.64643, val loss: 0.64482, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:32 2021 Epoch 9, lr: 0.0000300, train loss: 0.64887, val loss: 0.64092, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:37 2021 Epoch 10, lr: 0.0000300, train loss: 0.62099, val loss: 0.63700, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:42 2021 Epoch 11, lr: 0.0000300, train loss: 0.63061, val loss: 0.63519, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:47 2021 Epoch 12, lr: 0.0000300, train loss: 0.62488, val loss: 0.63150, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:53 2021 Epoch 13, lr: 0.0000300, train loss: 0.62768, val loss: 0.62746, acc: 0.00000, qwk: 0.35484
Mon Feb 15 14:03:58 2021 Epoch 14, lr: 0.0000300, train loss: 0.60591, val loss: 0.62389, acc: 0.00000, qwk: 0.00000
Mon Feb 15 14:04:03 2021 Epoch 15, lr: 0.0000300, train loss: 0.60622, val loss: 0.62177, acc: 0.00000, qwk: 0.00000
Mon Feb 15 14:04:09 2021 Epoch 16, lr: 0.0000300, train loss: 0.61842, val loss: 0.61961, acc: 0.00000, qwk: 0.00000
Mon Feb 15 14:04:14 2021 Epoch 17, lr: 0.0000300, train loss: 0.60483, val loss: 0.61952, acc: 0.00000, qwk: 0.00000
